Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text
ID1,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1811,08,26,inform,Commerce of Canada.Extract of a letter.The population of Canada in 1760 was reckoned at 62000 souls whilst her exports had never exceeded two millions of livres tournois (about 90000l) The imports must have greatly exceeded the exports ; but not even a conjecture of the differences can be formed. The present population of the Canadas may be rated at 320000 souls ; but great as this augmentation may appear commerce will be found to have greatly surpassed the proportional ratio of the population.From 1763 to 1793 the exports may have varied from 120000l. to 300000l. chiefly of wheat furs and peltry. But during the last 18 years they have increased to the surprising sum of 1220963l. 10s. Sterling as we shall presently perceive by the following estimate which cannot be much over or under the truth :-Furs and skims ... 105000 0 Wheat all other grain flour and biscuit 136500 0 Lumber of all descriptions ... 536500 0 Pot and pearl ashes ... 223000 0 Beets and pork 30000 0 Sundries (too tedious to particularise) ... 16000 10 The hulls masts and yards of 28 vessels built in the province ... 84000 0 Total of domestic produce 1131000 0 Sundry goods imported and exported 4780 0 1125780 0Commissions and additional charges at 7 1/2 per cent. Sterling ... 65183 0 t. 1220963 10The amounts of imports of dutiable articles at Quebec is about 380000l. Sterling. It is impossible to ascertain the value of goods not dutiable ; but we may safely conlude that they will make the total of import as one million Sterling leaving a balance in favour of these provinces which but a few years ago would have appeared incredible. This property is carried by 661 vessels whose tonnage is 143893 navigated by 6758 seamen. The freight and primage on these vessels are nine guineas per ton being 1359788l. 17s. Sterling which without taking into consideration the charges in Britain will make the gross amount of our cargoes landed exceed 3000000l. Sterling being about a tenth of the imports of the United Kingdom.Our commerce has become considerable with the United States. A few years ago our imports from thence greatly exceeded our exports. But since respectable and intelligent American merchants have begun to settle amongst us I believe the scale turned in our favour ; and thus British industry is commencing to run in a channel never before much thought of. 
ID2,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,01,05,inform,From the Jamaica Royal Gazette. Kingston Sept. 27The ship Nestor belonging to Glasgow seized several months ago by the officers of his Majesty's customs at this port for not being pro vided with a register according to Act of Parliament was condemned at a Court of Vice Admiralty held in Spanish Town on Friday last week. She was sold for 1500L. 
ID4,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,13,inform,Our latest accounts from the West Indies say that no supply from the islands either of wheat or flour can possibly be obtained from the American states in consequence of the great bounties given by his Most Christian Majesty on these articles. Our charity therefore if we have any of these articles to spare must be first extended to our own Colonies ; and we cannot be surprised particularly when we consider the present price of bread at home that no assistance can be given at present either to the French or Dutch.The crops in the island of Jamaica promise a most plentiful harvest except to the eastward which ahs generally been considered as the most productive part.By the Westmoreland just arrived from Jamaica we learn that the slaves have become mutinous to an alarming degree ever since they were made acquainted with the intended abolition of the Slave Trade. 
ID5,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,inform,Extract of a letter from Quebec June 6.We are dreadfully alarmed at present on account of the great scarcity of flour throughout the province. Common flour sold this morning in the market at six dollars per cwt. bran from 7s. 6d. to 6s. oats 3s. per bushel and pease 20d. per bushel. There has been an account taken of the quantity of flour and wheat in this city and liberties by order of the Governor and Council and we find there is not more than will serve as ten days. They ar much worse off in the district of Montreal than we are here: We have sent them frequent supplies.Wheat which was found too bad to be shipped last year at three livres now sells at two dollars. One Merchant will make upwards of fifteen hundred pounds by this job.Government for the relief of the poor have caused to be issued by the contractor here rise at 3 d. per lb. no one to get more than a dollar's worth at a time. The day before yesterday there was delivered above a hundred pounds worth in this way.In consequence of letters by last Thursday's post from Montreal two thousand bushels of damaged wheat were shipped yesterday for that market. We have not had a grain of flour from England or the States though we hear of a cargo from New York for Montreal. The vessel was to call at New Brunswick ; and it is more than probably that people there being in great want themselves have detained her. The Government have done now what they should have done five or six months ago and then we should not be in this starving condition ; that is we are to have a proclamation to permit the importation of grain and flour from the States.My servant is just come home from the baker's where I had sent him for half a dollar's worth of bread. After watching for two hours till the bread came out of the overn he could get but eighteen-pennyworth ; three small loaves indeed weighing only two pounds each. Thirty-five shillings have been paid for ship biscuit. The Lord knows what will become of us–except Government will distribute some of the flour that is come for the troops in the Queen.Mr. Davidson one of the Council assured us on Thursday last there was not wheat and flourin the country for five weeks. He has taken a great deal of pains to be well informed on the subjuct; and to him are we indebted for the proclamation to allow the importation from the States. He stood forth alone and offered at his own expence to get an account taken of the quantities of wheat and flour in the town and liberties of Quebec and insisted on its being taken into consideration. 
ID7,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,inform,Extract of a letter from a Gentleman in Bermuda to his friend in Norfolk Virginia dated April 2.By Captain Gilbert the bearer of this you will learn our distress for want of provi- sions: There has not been in the whole island one bushel of corn for sale for 16 days past. Capt. George from Baltimore brought in [?] days ago two bushels of corn which sold immeddiately at 6s. 8d. per bushel; he also brought in 360 barrels of flour common and superfine which sold at eight and nine dollars per barrel. No vessel has arrived here with provisions since Capt. George; and no vessel belonging to the island is expected to relieve us. A great number of poor people have been for ten days past obliged to live on the greens of the field. Governor Hamilton by advice of his counsel has opened the port of Bermuda to all foreign vessels whatever for thirty days to be computed from the 30th day of March laden with bread corn; or flour. He also allows for three months the importation of salted provisions from any foreign port whatever in vessels belonging to these islands. IT is said what if any foreign vessel should come here after the time permited by proclamation they will be allowed to dispose of their cargo if they can prove they set out with an intent to come here. If any vessels be ready to sail from Norfolk with provisions advise them to call at Bermuda. 
ID8,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,06,inform,THE following extract from a late publication entitled A State of the present Government of the Province of Quebec will give the public some idea of the Canada Bill which has been so much talked of an procrastinated so long and at present pending in Parliament. The work we understand to be the production of Adam Lymburner Esq; set over by the province to negotiate this afair. It is remarkablewithhis former publication for its strong nervous elocution and perspicuity of reasoning.Liberty is congenial to the feelings of all mankind. The security which flows from a free constitution to both political and civil liberty contributes greatly towards bringing forth the powers of the human mind and the encouragement of the industry of people ; but no constitution can be called free where the people are not allowed to participate of the legislative authority by their representatives : This is the great criterion of freedom; and it is extremely natural for all British subjects as they know the value of it to struggle for such a valuable right. Great Britain has constantly acknoledged this prin ciple in the constitution she has granted to all her Colonies; and by that means has rendered them more flourishing and prosperous than those of o ther nations. Although the inhabitants of the province of Quebec have from the general tendency of the British government to a mild administration enjoyed a certain degree of civil liberty; yet they have been from the peculiar nature of the system of their government entirely deprived of all political liberty. A more full enjoyment of these essential privileges has been the prayer of their petitions and of those now be fore the House of commons. The objects prayed for may be reduced to the following heads:–1. An elective house of assembly or representatives of the people. 2. That the members of the legislative council receive no salaries as counsellors. 3. That the habeas corpusact and the other laws of England relating to personal libertybe made a part of the constitution. 4. That trial by jury in civil causes be likewise made part of the constitution and that nine out of twelve may return a verdict. 5. That the ancient laws and customs of Canada relative to landed property marriage settlements inheritance and dowers be continued in force in the districts or 
ID9,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,21,entertain,Curious Anecdote.–A few days ago a stranger waited on Mr. Sibbly Treasurer of the East India Company and desired to speak to him in private ; when the were retired the stranger said to Mr. Sibbly I am lately returned from India I have smuggled goods to the amount of about 120l. What duty have I to pay upon them? Mr. Sibbly smiled and told him That he could receive no such money without the Chairman's permission. Pray then (said the stranger) speak to him of it as soon as possible. I am resolved to pay whatever the duty is. The Company pays for the exclusive privilege of bringing India goods to Europe; the man that deprives them of any part of the advantages they hope to reap from it cannot in my opinion look upon himself as a strictly honest man. Since the stranger waited on Mr. Sibbly the Chairman had not had time to give him an answer ; the stranger notwithstanding gave him a letter including a Bank note of 30l. The sum Mr. Sibbly told him he should pay if he paid any thing. 
ID15,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,03,inform,From Quebec June 10 we are informed Canada is at present greatly distressed; provisions extremely dear ; beef if good for any thing 5[?] per pound ; mutton 7–d. butter 15d. The parishes in the upper country about Niagara and Montreal have been without bread for four months.There are orders now in town for as many goods for Quebec as will load ten ships; the trade being so exceedingly brisk and the people giving the preference to European goods. 
ID17,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,07,inform,Yesterday some dispatches were received from St. Kitt's which were brought over in the Matthew Capt. Slegg arrived in the Downs which are dated the 10th of June : they contain an account of all the merchant ships which were then at that island ; that they were nearly full and were fixed to sail from thence the 26th of July and the first of August ; and that the weather continued exceedingly fine. 
ID18,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,09,21,persuade,A short DESCRIPTION of and REMARKS upon a new State called THE WESTERN TERRITORY being one of four settled by the Americans since 1774.THAT no nation can serve the Americans with goods equal in quality and price to Britain is wha the whole world knows and from experience the most obstinate rebel American dare not deny: It is with pleasure therefore we inform our readers that the United States are paying more attention to agriculture than to manufactures–They have already laid out four new States since the beginning of their rebellion viz. Vermont Kentucky Indiana and The Western Territory.About seventeen years ago Vermont was a wilderness; they only began to settle it about the year 1774. Kentucky ten years ago lay in forest wild; it was settled in 1780. Yet so rapid has been the population that there are not less than one hundred thousand inhabitants already in each of these states. The State of Indiana was only laid off this present year in 1789 and contains but two or three hundred inhabitants. From a description of these four States published in America in May last we give our readers a short abridged description of the last of them called The Western Territory; and it must rerejoice the heart of every Briton to read it and think that the settling of these countries though the Americans double their numbers every 15 or 20 years will long keep them from manufacturing and is every day opening a field for new customers to Great Britain; for who will work as a tradesman even though wages are very high when he can for twenty pounds purchase a thousand acres of land that being the present price fixed by Congress for lots of land in The Western Territory.–Hence the demand of our manufactures will continually increase with the increasing population of America.–Desponding politicians may derive comfort from the prospect that new channels of commerce will be opened and the inland parts of the Continent will require an increasing supply.–British manufactures will for ages ascend the great rivers of that Continent and by means of a most extraordinary inland navigation will be diffused through a country more fertile more extensive than all the Thirteen United States.The Western Territory Is the name given to this new State by Congress. It is bounded on the west by the Mississippi river –north by the Lakes–east by Pennsylvania? south and south-east by the Ohio river; contains according to Mr. Hutchins Geographer General to the Congress 411000 square miles equal to two hundred and sixty-three millions of acres from which he deducts forth-three millions of acres for water; there will then remain two hundred and twenty millions of acres belonging to the fed–ral government which is to be sold for the discharge of the debt owing to the United States. But a very small proportion of these lands is yet purchased of the native Indians and disposed of by Congress*.On the lands which have been purchased by Congress from the Indians two settlements are already commenced–one at Marietta the other at Miami.This State was only laid out by Congress in the end of the year 1787 and already contains above 8000 inhabitants. The principal rivers are the Mississippi Ohio Muskingham Hockhocking Sioto Miami Wobash&c–Coal and iron mines and salt pits abound in this State; the soil is excellent?as rich as can be imagined and may be reduced to yield plentiful crops with little or no labour. It is exceedingly healthy pleasant and commodious–the most fertile spot of earth known to the Europeans or Americans–exceeding the soil of any of the United States. The timber is tall and in great variety?Streams for mills abound here. Wheat indigo hemp and cotton thrive well. Many years will probably not escape before a good part of the country will be brought to that degree of cultivation that will exhibit all its latent beauties and fulfill the description of travellers who call it the garden of the world. It is here probably also that the center of a great empire will be fixed in some future period. It is the most centrical place for Congress to accommodate themselves at. No country is better stocked with wild game of every kind; herds of deers elks bears &c fill the extensive meadows of thie country?turkies geese swans and partridges &c. are innumerable. The rivers are excellently stored with fish and almost all navigable for small sloops.In the ordinance published by Congress for the government of this territory they are to be allowed an Assembly when their number amounts to 30000 persons; and when they acquire a certain degree of population they are to have representatives in Congress; and when fifty millions of acres are settled they are to be divided into States.Rejoice O Britons! that they must all be supplied with manufactures by you and you only!* No more than about twelve millions of acres have yet been purchased of the poor natives for which Congress gave them only eight thousand dollars value in goods and rum. 
ID21,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,10,09,inform,Boston July 31.The building of an Indiaman goes on with rapidity and it is said will be launched about the 20th of October and is pronounced by judges to be an excellent piece of workshmanship. 
